,id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,asin,product_title,price,product_star_rating,ratings,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume_in_past_month,has_variations,delivery_category,review_id,review_title,comment,review_star_rating,product_asin,date,sentiment
17,18,0.0,0.807,0.193,0.9928,0.0026866556145250797,0.03153124824166298,0.9657821655273438,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R3MAFH3JF64SEA,Must Have!,"I recently picked up the Apple AirTags 4-Pack, and they have been a game changer for keeping track of our belongings. The setup process was incredibly easy—literally took just a few minutes to get everything up and running. The simplicity of the setup was a pleasant surprise, especially when compared to other tracking devices I’ve used in the past.

The versatility of the AirTags is remarkable. These compact trackers can be attached to just about anything, from our dogs’ collars to our backpacks and even our boat. Their small size means they don’t add bulk or interfere with the aesthetics of the items they’re tracking.

One thing to keep in mind is that while the AirTags themselves are durable, you’ll definitely want to invest in cases or holders for them. This helps protect them from wear and tear and ensures they stay securely attached to whatever you’re tracking.

The battery life is impressive as well. The AirTags last a long time between battery changes, which is very convenient and adds to their overall value. Additionally, the location accuracy in suburban areas is spot-on. We’ve been able to locate our dogs, backpacks, and boat with ease, thanks to the precise tracking capabilities.

Overall, the Apple AirTags have exceeded my expectations. They offer a great way to keep tabs on important items and provide peace of mind. I highly recommend the AirTags 4-Pack to anyone looking for a reliable and efficient tracking solution.",5,B0D54JZTHY,2024-07-24,Positive
18,19,0.022,0.841,0.137,0.96,0.010277890600264072,0.1165531575679779,0.8731689453125,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R1HTY4BXCONKSH,Apple Air Tags,"Wow where does one begin.
Ok in my luggage all of them have Apple Air Tags inside them. When ever I travel I get notification of where they are even just outside of the airplane, and in many countries as well. Not to mention I have several kitties that like to escape from there houses, sometimes gone for days at a time. Now they have a collar with an Apple Air Tag on them it so cool oven when they are a few blocks from home. I know exactly where they are m. With in 1 foot or 30 centimetres. I will highly recommend these little discs to any person that wants to know where they’re belongs are on earth I even have one attached to my Jeep in plane view and nobody has a clue what it is. Helps getting an insurance discount as well. These are just a few things that I’ve used them on for the past year or so.don’t want to loose anything of value get these little guys check out the user on YouTube just to see how they have worked. ‍⬛❤️☺️",5,B0D54JZTHY,2024-09-03,Positive
19,20,0.064,0.769,0.167,0.9558,0.02801637165248394,0.08398696035146713,0.8879966735839844,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R15ZOSI9L1YHI3,We are ready for our next vacation!,"First we bought one Apple AirTag for my husband’s wallet.  Then we bought a second one for his car keys.
Now we have a four pack, which is cheaper, for our golf bags and checked roller bags.

Since we travel a lot, we have had lost luggage.  Thank goodness it always found its way back to us, although a few days later, but you just never know.  There seems to be too many bad people out there now, and it would certainly ruin a golf vacation if someone took your clubs or all your golf clothes.  Bah.

So we are hooking these on the inside of our four checked bags, and then track them on our iPhone.  This is such an awesome gadget that Apple has created.  So helpful, and it makes us feel so much safer when our luggage is separated from us at the airport and on the planes.  Thank you Apple.

Highly recommend.",5,B0D54JZTHY,2024-09-07,Positive
20,21,0.0,0.651,0.349,0.9528,0.001363052404485643,0.006822015158832073,0.991814911365509,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,R3358QU6ZP17RX,Works amazing!!,My new favorite chargers! They work with all my devices they are fast and good quality. The charge last longer than with my other chargers . The boxes are really nice and a great bonus to have 2 of them .,5,B0DD32Y55P,2024-09-05,Positive
21,22,0.0,0.705,0.295,0.9758,0.0013562350068241358,0.008207554928958416,0.9904361367225647,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,RKTC7YF9VPNRO,Great charger for your devices,"This USB-C wall charger is a game changer! It delivers fast charging for all my devices, from my phone to my laptop, and the compact design makes it perfect for travel. I love that it's universally compatible. The build quality is excellent, and it offers great value for the price.
This is a must for anyone w/ multiple devices. Highly recommend it for anyone needing a reliable, powerful charger!",5,B0DD32Y55P,2024-08-28,Positive
22,23,0.107,0.632,0.261,0.4888,0.0012324054259806871,0.011354068294167519,0.9874135255813599,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,R2RZU5C3SIRFSH,Worth The Money!,These chargers work extremely well! Fast charging with no issues! Chargers came fast and well packed.,5,B0DD32Y55P,2024-08-26,Positive
23,24,0.02,0.663,0.318,0.9794,0.0015667937695980072,0.013603299856185913,0.9848299026489258,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,RC89Q5WBLNSGK,SOLID QUALITY-FAST CHARGING,"I recently picked up this two-pack of charging blocks with USB-C to USB-C cables, and I'm really impressed. The build quality feels solid, and the cables are thick and durable. Plus, they charge my devices quickly and efficiently.

Having two sets is super handy, especially when I have multiple devices that need a boost. The price point is definitely a plus, making it a great value for the quality. If you're looking for a reliable charging solution, I'd recommend giving these a try.",5,B0DD32Y55P,2024-08-21,Positive
24,25,0.033,0.792,0.175,0.9118,0.001158295082859695,0.02714332565665245,0.9716984033584595,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,R1KZNR8V1TY66Q,The Best,"The USB C Charger, 2 Pack 25W Type C Wall Charger Block, is an excellent choice for anyone needing fast and reliable device charging. Its 25W power delivery allows for speedy charging, significantly reducing the time required to power up phones, tablets, and other USB-C-compatible devices. The compact and lightweight design makes it perfect for travel, fitting easily into any bag or pocket. Built with high-quality materials, this charger feels durable and well-constructed, offering a safe and efficient charging experience.",5,B0DD32Y55P,2024-08-29,Positive
25,26,0.0,0.769,0.231,0.2732,0.0024015437811613083,0.05565383657813072,0.9419445991516113,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,RM41ONX1GHCUH,Great charger,Shipment was quick and the charger works well.,5,B0DD32Y55P,2024-09-07,Positive
26,27,0.0,0.582,0.418,0.8012,0.00142890983261168,0.01167297177016735,0.9868980646133423,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,RY9HCPH35EOCM,Great chargers,Great charger for my devices! Highly recommend these chargers. Seem very durable.,5,B0DD32Y55P,2024-09-07,Positive
27,28,0.0,0.685,0.315,0.851,0.00121081224642694,0.00913316011428833,0.9896560907363892,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,R1QS9FZ0QTKEWS,"Excellent chargers, fast charging 10/10",5 stars! Charger came fast. Just as described. Works perfect for iPhone 15 pro. Fast charging! Very happy. Would buy again.,5,B0DD32Y55P,2024-08-26,Positive
28,29,0.0,0.804,0.196,0.9609,0.0019542428199201822,0.028090324252843857,0.9699554443359375,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,R2M72WS04P8BQK,Work great,"These came in today,they feel of good quality and don’t feel cheap.I like the length of the cables.cheaper than the price of the name brand charger for my iPhone 15 pro max And you get 2 of them,so that’s a bonus since I can also use it on my iPad mini 5 and can charge both at once or I can put 1 in my car/bag/shop/work.The ends are regular size so they fit perfectly in the cutout of my phone case and iPad case and the ends also feel strong and durable",5,B0DD32Y55P,2024-09-09,Positive
29,30,0.0,0.841,0.159,0.8074,0.001936163054779172,0.018316689878702164,0.9797471761703491,B0DD32Y55P,"iPhone 15 Charger Fast Charging, USB C Charger, 2 Pack 25W Type C Wall Charger Block with 2 Pack 6FT USB C Cable for iPhone 16/15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods, Samsung More",9.99,5.0,33.0,False,False,False,False,200000.0,False,Free delivery with minimum order,RXE8NOYGUUR8O,Super fast charge!,I use my phone a lot and am on the move. This is the fastest charger I've ever used. My phone was at 30% and in 50 minutes it went to 100%. I  will definitely recommend it to friends. So much cheaper than Apple's similar charger which looks almost identical.,5,B0DD32Y55P,2024-09-07,Positive
30,31,0.028,0.778,0.194,0.944,0.004483560565859079,0.021473726257681847,0.9740427136421204,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,R3MZ2T4QUHM5I5,A variety!,"I desperately needed chargers in bulk because my son seems to break a cord every 3 business days. I stumbled across these beautiful pastel colored cords and said why not give them a try. The first plus was the colors, absolutely stunning! My second positive was the fact that each cord is a different length and useful for any setting. The charge is fairly quick also. Overall, I think this was a great buy and will last a lot longer than the new age USB-C chargers.",5,B0D2NPWBXV,2024-09-07,Positive
31,32,0.0,0.824,0.176,0.8687,0.0012213687878102064,0.008252413012087345,0.9905261993408203,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,R3PSARVG1I7ZAV,I love it,"I recently purchased the charger pack, and I'm thrilled with the performance! The set includes cables of varying lengths, which is incredibly convenient for different situations. The Apple MFi certification ensures reliable compatibility and fast charging. The colorful design adds a fun touch, and the durability of the cables is impressive",5,B0D2NPWBXV,2024-08-30,Positive
32,33,0.0,0.508,0.492,0.7003,0.006218773312866688,0.10404853522777557,0.8897327184677124,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,R3252X980MMLHM,"Different lengths, good quality","Assorted lengths and colors, good quality, good price.",5,B0D2NPWBXV,2024-09-07,Positive
33,34,0.0,0.671,0.329,0.9563,0.001387569704093039,0.006962299812585115,0.9916501045227051,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,R4VNZ34D639LN,Great Cables!,"I am in love with these cables. The beautiful colors, the high quality and the quickness in which they arrived. My kids and I each have our own color so we easily know which cables are who’s and they charge great. I highly recommend.",5,B0D2NPWBXV,2024-09-03,Positive
34,35,0.0,0.628,0.372,0.9545,0.0015983160119503736,0.010280194692313671,0.988121509552002,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,R1AM17VMRG9KWC,Great Deal,Great multi pack of chargers that fit and work with my iPhone. Cords are nice and come in different lengths. It’s feels very durable and not cheap. It’s an amazing deal for 6 in a pack. Would definitely recommend.,5,B0D2NPWBXV,2024-08-31,Positive
35,36,0.0,0.483,0.517,0.9431,0.0016845910577103496,0.016741648316383362,0.981573760509491,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,RS7KIA7F0S2J4,Colorful iPhone chargers 🔌,"Fast shipping, great packaging, great customer service overall. iPhone chargers are long, work great, fast charge as well!!",5,B0D2NPWBXV,2024-09-06,Positive
36,37,0.0,0.736,0.264,0.865,0.0015208650147542357,0.015352731570601463,0.9831264615058899,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,RGGXRPUGWWR2,Length,"These cords are great. So far they are long lasting, they charge quickly and the most important thing they are long. I can have them stretch a good distance wherever I need them!!",5,B0D2NPWBXV,2024-09-02,Positive
37,38,0.05,0.768,0.183,0.784,0.0012393835932016373,0.011245380155742168,0.9875152111053467,B0D2NPWBXV,iPhone Charger Fast Charging 6Pack [3/3/6/6/6/10 FT] Apple MFi Certified Lightning Cable iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More - Colorful,8.98,5.0,49.0,False,False,True,False,1000.0,False,Free delivery with minimum order,RV503U32MC9ZM,Great value!,These work perfectly since reviews should usually start with functionality but aside from that they are the cutest pastel colors! My husband uses black and white and I use colored - it keeps our phones charged and marriage sane ,5,B0D2NPWBXV,2024-09-06,Positive
